"","mouse1","mouse2","pair","OI","sex1","sex2","type","window"
"509","120","115","120.115",0,"M","F","MF",5400
"510","120","116","120.116",0,"M","M","MM",5400
"511","120","118","120.118",0,"M","M","MM",5400
"512","120","119","120.119",0,"M","M","MM",5400
"513","120","121","120.121",0,"M","M","MM",5400
"514","120","122","120.122",0,"M","F","MF",5400
"515","120","123","120.123",0,"M","F","MF",5400
"516","120","124","120.124",0,"M","F","MF",5400
"517","120","125","120.125",0,"M","M","MM",5400
"518","120","126","120.126",0,"M","M","MM",5400
"519","120","127","120.127",0,"M","F","MF",5400
"520","120","129","120.129",0,"M","M","MM",5400
"521","120","92","120.92",0,"M","M","MM",5400
"522","120","93","120.93",0,"M","M","MM",5400
"523","120","94","120.94",0,"M","F","MF",5400
"524","120","95","120.95",0,"M","F","MF",5400
"525","120","96","120.96",0,"M","F","MF",5400
"526","120","97","120.97",0,"M","F","MF",5400
"527","120","uk2","120.uk2",0,"M","U",NA,5400
"528","121","103","121.103",0.00126008064516129,"M","F","MF",5400
"529","121","104","121.104",0,"M","M","MM",5400
"530","121","105","121.105",0,"M","F","MF",5400
"531","121","106","121.106",0.00151209677419355,"M","M","MM",5400
"532","121","107","121.107",0.00100806451612903,"M","F","MF",5400
"533","121","108","121.108",0,"M","M","MM",5400
"534","121","109","121.109",0,"M","M","MM",5400
"535","121","110","121.110",0,"M","M","MM",5400
"536","121","111","121.111",0,"M","M","MM",5400
"537","121","112","121.112",0,"M","F","MF",5400
"538","121","113","121.113",0,"M","M","MM",5400
"539","121","114","121.114",0,"M","M","MM",5400
"540","121","115","121.115",0,"M","F","MF",5400
"541","121","116","121.116",0,"M","M","MM",5400
"542","121","118","121.118",0.000504032258064516,"M","M","MM",5400
"543","121","119","121.119",0,"M","M","MM",5400
"544","121","120","121.120",0,"M","M","MM",5400
"545","121","122","121.122",0,"M","F","MF",5400
"546","121","123","121.123",0,"M","F","MF",5400
"547","121","124","121.124",0,"M","F","MF",5400
"548","121","125","121.125",0,"M","M","MM",5400
"549","121","126","121.126",0,"M","M","MM",5400
